10;-18.6249;396.8701;16.3010;2013-06-04 10:19:01
12;-18.3698;369.8080;16.3251;2013-06-04 10:19:01
14;-18.1592;346.0916;16.3278;2013-06-04 10:19:01
16;-17.9177;319.4909;16.2849;2013-06-04 10:19:01
18;-17.6629;288.9211;16.1938;2013-06-04 10:19:01
20;-17.4079;261.0587;16.0213;2013-06-04 10:19:01
22;-17.2022;238.4477;15.8468;2013-06-04 10:19:01
24;-16.9581;211.6506;15.6770;2013-06-04 10:19:01
26;-16.7077;186.7267;15.4781;2013-06-04 10:19:01
200;11.4269;-41.6112;-0.0745;2013-06-04 10:19:01
0;-19.8131;528.9244;15.4804;2013-06-04 10:23:16
2;-19.6105;506.0654;15.6802;2013-06-04 10:23:16
4;-19.3647;478.2375;15.8952;2013-06-04 10:23:16
6;-19.1459;455.4527;16.0370;2013-06-04 10:23:16
8;-18.8888;427.4758;16.1587;2013-06-04 10:23:16
10;-18.6250;396.8702;16.2989;2013-06-04 10:23:16
12;-18.3697;369.8084;16.3210;2013-06-04 10:23:16
14;-18.1581;346.0917;16.3248;2013-06-04 10:23:16
16;-17.9148;319.4912;16.2842;2013-06-04 10:23:16
18;-17.6614;288.9213;16.1933;2013-06-04 10:23:16
20;-17.4052;261.0591;16.0190;2013-06-04 10:23:16
22;-17.2015;238.4479;15.8481;2013-06-04 10:23:16
24;-16.9570;211.6509;15.6760;2013-06-04 10:23:16
26;-16.7081;186.7271;15.4775;2013-06-04 10:23:16
200;11.4269;-41.6113;-0.0746;2013-06-04 10:23:16
0;-19.8202;528.9242;15.4882;2013-06-04 10:36:15
2;-19.6203;506.0651;15.6852;2013-06-04 10:36:15
4;-19.3726;478.2373;15.8961;2013-06-04 10:36:15
6;-19.1534;455.4527;16.0355;2013-06-04 10:36:15
8;-18.8897;427.4761;16.1638;2013-06-04 10:36:15
10;-18.6318;396.8703;16.3016;2013-06-04 10:36:15
12;-18.3691;369.8088;16.3204;2013-06-04 10:36:15
14;-18.1608;346.0922;16.3264;2013-06-04 10:36:15
16;-17.9183;319.4910;16.2832;2013-06-04 10:36:15
18;-17.6654;288.9211;16.1899;2013-06-04 10:36:15
20;-17.4097;261.0593;16.0181;2013-06-04 10:36:15
22;-17.2037;238.4476;15.8485;2013-06-04 10:36:15
24;-16.9591;211.6504;15.6759;2013-06-04 10:36:15
26;-16.7094;186.7267;15.4785;2013-06-04 10:36:15
200;11.4270;-41.6113;-0.0743;2013-06-04 10:36:15
0;-19.8265;528.9239;15.4859;2013-06-04 10:48:36
2;-19.6224;506.0689;15.6928;2013-06-04 10:48:36
4;-19.3741;478.2405;15.9172;2013-06-04 10:48:36
6;-19.1570;455.4541;16.0590;2013-06-04 10:48:36
8;-18.8947;427.4759;16.1762;2013-06-04 10:48:36
10;-18.6341;396.8680;16.2858;2013-06-04 10:48:36
12;-18.3785;369.8093;16.2820;2013-06-04 10:48:36
14;-18.1663;346.0955;16.2943;2013-06-04 10:48:36
16;-17.9231;319.4939;16.2765;2013-06-04 10:48:36
18;-17.6669;288.9191;16.1798;2013-06-04 10:48:36
20;-17.4117;261.0557;15.9663;2013-06-04 10:48:36
22;-17.2080;238.4496;15.7818;2013-06-04 10:48:36
24;-16.9627;211.6550;15.6392;2013-06-04 10:48:36
26;-16.7111;186.7270;15.4784;2013-06-04 10:48:36
200;11.4273;-41.6113;-0.0744;2013-06-04 10:48:36
0;-19.8265;528.9230;15.4887;2013-06-04 10:53:49
2;-19.6218;506.0683;15.6957;2013-06-04 10:53:49
4;-19.3689;478.2402;15.9175;2013-06-04 10:53:49
6;-19.1539;455.4539;16.0592;2013-06-04 10:53:49
8;-18.8947;427.4754;16.1763;2013-06-04 10:53:49
10;-18.6349;396.8681;16.2861;2013-06-04 10:53:49
12;-18.3755;369.8091;16.2821;2013-06-04 10:53:49
14;-18.1674;346.0954;16.2942;2013-06-04 10:53:49
16;-17.9236;319.4936;16.2772;2013-06-04 10:53:49
18;-17.6664;288.9182;16.1826;2013-06-04 10:53:49
20;-17.4107;261.0554;15.9660;2013-06-04 10:53:49
22;-17.2073;238.4491;15.7823;2013-06-04 10:53:49
24;-16.9617;211.6547;15.6396;2013-06-04 10:53:49
26;-16.7120;186.7271;15.4781;2013-06-04 10:53:49
200;11.4275;-41.6112;-0.0746;2013-06-04 10:53:49
0;-19.8255;528.9236;15.4863;2013-06-04 10:57:28
2;-19.6194;506.0689;15.6954;2013-06-04 10:57:28
4;-19.3731;478.2405;15.9158;2013-06-04 10:57:28
6;-19.1539;455.4541;16.0596;2013-06-04 10:57:28
8;-18.8935;427.4754;16.1778;2013-06-04 10:57:28
10;-18.6321;396.8680;16.2831;2013-06-04 10:57:28
12;-18.3744;369.8090;16.2838;2013-06-04 10:57:28
14;-18.1658;346.0954;16.2933;2013-06-04 10:57:28
16;-17.9195;319.4940;16.2771;2013-06-04 10:57:28
18;-17.6681;288.9182;16.1815;2013-06-04 10:57:28
20;-17.4098;261.0558;15.9677;2013-06-04 10:57:28
22;-17.2071;238.4490;15.7848;2013-06-04 10:57:28
24;-16.9618;211.6550;15.6383;2013-06-04 10:57:28
26;-16.7136;186.7271;15.4786;2013-06-04 10:57:28
200;11.4275;-41.6112;-0.0741;2013-06-04 10:57:28
0;-19.8483;528.9213;15.4904;2013-06-04 11:16:46
2;-19.6418;506.0636;15.6565;2013-06-04 11:16:46
4;-19.3887;478.2407;15.8316;2013-06-04 11:16:46
6;-19.1739;455.4593;15.9827;2013-06-04 11:16:46
