548067.63,5129286.26,1014.84
548067.11,5129283.96,1014.17
548062.92,5129265.44,1008.81
548062.37,5129263.09,1008.34
548060.30,5129253.74,1005.07
548059.86,5129251.45,1003.38
548059.30,5129249.06,1003.02
548058.71,5129246.64,1002.91
548058.11,5129244.21,1002.81
548057.52,5129241.77,1002.74
548056.91,5129239.33,1002.73
548056.43,5129236.98,1001.38
548055.96,5129234.66,999.91
548054.95,5129229.90,997.72
548054.42,5129227.48,996.86
548053.85,5129225.06,996.39
548053.31,5129222.63,995.60
548052.79,5129220.23,994.57
548052.24,5129217.79,993.82
548051.70,5129215.36,993.04
548050.59,5129210.45,991.67
548050.05,5129208.00,990.78
548048.42,5129200.65,988.20
548047.88,5129198.18,987.25
548040.67,5129165.66,976.01
548040.11,5129163.12,975.01
548039.62,5129160.62,973.36
548027.96,5129101.08,958.21
548028.55,5129103.70,959.13
548029.77,5129108.93,960.29
548031.59,5129116.73,962.01
548036.43,5129137.46,966.36
548037.05,5129140.05,966.71
548038.24,5129145.18,968.05
548040.55,5129155.39,971.27
548041.08,5129157.90,972.55
548041.64,5129160.45,973.46
548043.27,5129167.98,976.90
548047.73,5129187.99,984.02
548049.41,5129195.44,986.54
548049.97,5129197.91,987.23
548050.51,5129200.37,988.27
548052.74,5129210.20,991.29
548053.29,5129212.64,992.16
548053.84,5129215.10,992.97
548054.34,5129217.49,994.24
548054.93,5129219.95,994.63
548055.47,5129222.37,995.38
548055.99,5129224.77,996.54
548056.53,5129227.18,997.34
548057.11,5129229.64,997.82
548057.60,5129231.99,999.05
548058.08,5129234.34,1000.50
548059.08,5129239.05,1002.93
548059.69,5129241.50,1002.86
548060.29,5129243.95,1003.03
548060.89,5129246.37,1003.15
548061.49,5129248.81,1003.20
548062.09,5129251.23,1003.31
548062.58,5129253.56,1004.51
548064.07,5129260.50,1007.84
548066.21,5129269.87,1010.47
548066.74,5129272.20,1011.16
548067.28,5129274.52,1011.73
548068.85,5129281.46,1013.86
548070.46,5129288.37,1015.43
548070.93,5129290.60,1016.57
548072.15,5129290.59,1016.86
548067.01,5129267.70,1009.79
548066.49,5129265.39,1009.08
548064.42,5129256.08,1006.02
548063.96,5129253.80,1004.62
548063.47,5129251.49,1003.47
548062.88,5129249.07,1003.33
548062.28,5129246.65,1003.35
548061.69,5129244.23,1003.19
548061.10,5129241.80,1003.12
548058.50,5129229.94,998.61
548057.96,5129227.54,997.86
548057.46,5129225.16,996.64
548056.94,5129222.77,995.73
548056.41,5129220.36,994.82
548055.84,5129217.92,994.30
548055.32,5129215.50,993.24
548054.78,5129213.08,992.51
548054.24,5129210.65,991.58
548053.13,5129205.75,990.30
548044.87,5129168.53,977.33
548043.22,5129160.97,974.36
548042.17,5129155.93,971.74
548039.82,5129145.70,969.13
548038.10,5129138.00,966.71
548032.06,5129112.04,961.45
548031.42,5129109.41,961.29
548028.21,5129087.18,955.82
548028.83,5129089.79,956.28
548029.44,5129092.42,956.95
548030.62,5129097.65,958.61
548033.07,5129108.10,960.71
548033.66,5129110.69,961.55
548034.28,5129113.30,961.95
548039.67,5129136.56,967.55
548040.30,5129139.15,967.67
548041.49,5129144.29,969.03
548043.81,5129154.50,971.98
548044.93,5129159.56,973.91
548045.46,5129162.07,975.31
548046.60,5129167.13,976.95
548050.49,5129184.67,983.47
548052.73,5129194.62,986.70
548056.03,5129209.37,991.90
548056.60,5129211.84,992.44
548057.14,5129214.29,993.40
548057.71,5129216.73,993.99
548058.27,5129219.18,994.71
548058.83,5129221.62,995.30
548059.34,5129224.02,996.48
548059.88,5129226.44,997.32
548060.38,5129228.83,998.66
548062.41,5129238.32,1003.19
548063.00,5129240.75,1003.43
548063.61,5129243.20,1003.55
